Exception Handler.S-,Exception Handler.T+,Flow loop control.T+,Operator expression.S-,Variable declaration.T+;2;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Function Creation.T+,Function access.T+,Return modifier.T+,Variable declaration.S+,Variable declaration.S-;2;[apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c, apache_derby-50734d82d276fa9ed8e8d5caad2be8ecec410910]
Conditional.S-,Conditional.T+,Function Creation.T+,Function access.T+,Operator expression.S-;5;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, netty_netty-2d682dc2a3ecd32a179d4455c1b7a0e675768945, apache_tomcat-b00e8366137f8ff4020232a421cd53d036bb6150, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5]
Conditional.S-,Conditional.T+,Function Creation.T+,Function access.T+,Operator expression.T+;6;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, netty_netty-2d682dc2a3ecd32a179d4455c1b7a0e675768945, apache_tomcat-b00e8366137f8ff4020232a421cd53d036bb6150, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5, apache_derby-a11b0768bc778e7991f51145d56a30f5cf4f150b]
Exception Handler.S+,Return modifier.S+;3;[netty_netty-4af47f0ced39d86a1ef6a644e7c1506d81c0ea1b, WhisperSystems_Signal-Android-7bec5efe1a4ac3fd30882a14d573c9e3558c45ed, netty_netty-02f3df55a858fdd1531f759345e84fdcdefe9bd6]
Exception Handler.S+,Return modifier.S-;2;[WhisperSystems_Signal-Android-7bec5efe1a4ac3fd30882a14d573c9e3558c45ed, apache_tomcat-c0cb61b2d0357ba912c8c39326b08ce64743f1b1]
Exception Handler.S+,Return modifier.T+;5;[apache_derby-01a4f9bd8890e2288c089e821d6ac71edecdfd4b, apache_derby-50734d82d276fa9ed8e8d5caad2be8ecec410910, apache_tomcat-c83d8ec5aeed0a467cbde2aad5cc70a9f30bdc25, netty_netty-9a183ec38f27ccc1dc541d9a5e6a6cc541a6b0b0, apache_tomcat-c0cb61b2d0357ba912c8c39326b08ce64743f1b1]
Conditional.T+,Operator expression.S-,Variable declaration.T+;2;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, netty_netty-2d682dc2a3ecd32a179d4455c1b7a0e675768945]
Exception Handler.S-,Flow loop control.S-,Function Creation.T+,Function access.S+,Function access.S-;4;[apache_derby-01a4f9bd8890e2288c089e821d6ac71edecdfd4b, netty_netty-1351349243128ea7048a98e01e65609af8628d96, google_ExoPlayer-b6755c145e0f06360f7852a9b1f9ad67cec47533, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Exception Handler.S-,Flow loop control.S-,Function Creation.T+,Function access.S+,Function access.T+;4;[apache_derby-01a4f9bd8890e2288c089e821d6ac71edecdfd4b, netty_netty-1351349243128ea7048a98e01e65609af8628d96, google_ExoPlayer-b6755c145e0f06360f7852a9b1f9ad67cec47533, brettwooldridge_HikariCP-3dc3f619b4831f39e53bf86b54d7c0c9a8477774]
Conditional.T+,Operator expression.S-,Variable declaration.S-;2;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, netty_netty-2d682dc2a3ecd32a179d4455c1b7a0e675768945]
Operator expression.S-,Variable declaration.S-,Variable declaration.T+;9;[apache_tomcat-498d4a4cced0d6ceced4fee9393b6a89ed02325d, apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382, apache_tomcat-754b4733841ae9e88ec4e7312090215f2c5b3b31, ikasanEIP_ikasan-6e508e10ec35b9a36e79b87a57302a85fde8f4e5, netty_netty-2d682dc2a3ecd32a179d4455c1b7a0e675768945, apache_tomcat-7882209c5c4491fbfe42a3f358f56c6460b762f6, apache_tomcat-c3daeaf842142cfa19fd01c31c50718b247bcf3a, google_ExoPlayer-b2a28a140c1eb8349e50649b6687fe18b835eeb9]
Exception Handler.S-,Function Creation.T+,Function access.S+,Operator expression.S-,Return modifier.T+;2;[apache_tomcat-27ca28f275e457e520842e32c0d70894a89a96a4, apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382]
Exception Handler.S-,Function Creation.T+,Function access.S+,Operator expression.S-,Return modifier.S+;2;[apache_tomcat-27ca28f275e457e520842e32c0d70894a89a96a4, apache_derby-47f286f672c05c2806e8fe2554865a2fcdeac382]
Conditional.T+,Exception Handler.S-,Operator expression.S-,Operator expression.T+;3;[apache_derby-03f15c03ba86933788d886c742ce02293a04fcee, netty_netty-57e7571c65f181df97ea7bbab372659a0baedfa1, apache_tomcat-ca205c1c429f5a497c57fbbcdf17bf19d8ea0ec5]
