Function access.T+,Function access.T-;14;[WhisperSystems_Signal-Android-2ce16297ff1dfbbc948aec1c5d352c46f95c2547, WhisperSystems_Signal-Android-65124fd1f2d459a6e40517bf3f572f68b554a783, apache_tomcat-bf8fb1d3fdd3f755657032b33fa4ef5e308c13e8, apache_derby-3233189a04a8029e5ccae6721a25a92651e74577, google_ExoPlayer-ccfb6beb3016c382f7aea27ffe2df5b8281ba345, apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_derby-93ab830251aae84eb2391af83d99e391e3a36361, netty_netty-65b522a2a75c78c977a65e15663509509b5f12e0, netty_netty-a7f7d9c8e004aa13801424e6e665b1ec525a822f, apache_tomcat-05c84ff8304a69a30b251f207a7b93c2c882564d, apache_tomcat-c0384f0363f51f77987cf519489056908b9e4731, ikasanEIP_ikasan-792fba02e16b595f66c3e46ef2288faf27501aac, apache_derby-0c9f73e3c2651556a7a112c02e95ae71828e0575, netty_netty-8dbf5d02e53a72c42467b8dc0a5e1482d5f49af4]
Exception Handler.S-,Exception Handler.T+,Function Creation.S-;5;[apache_tomcat-7d5a2bfa8a062939f6e4490a19994b96b4e50e42, netty_netty-0f76b3c357fbb3500a9f0742e9369139b3283ceb, apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-d754be3226da3ddaad8dac34be0692e73aff969b, apache_tomcat-501dfa46576d1ae0a29f1ebe1b080e49aa0beaa6]
Conditional.T+,Flow loop control.T+,Function access.T+,Operator expression.S-,Operator expression.T+;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Function Creation.S-,Function access.S+,Function access.S-,Operator expression.S+,Variable declaration.S+;2;[apache_tomcat-6b61911f94d6d8d49ee933c5f1882a7e7c336d2c, apache_derby-24e3f7e93c8df4ffb5addb8c35416d515d65dde5]
Conditional.S-,Flow loop control.T+,Function access.T+,Operator expression.S-;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Conditional.S-,Flow loop control.T+,Function access.T+,Operator expression.T+;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Flow loop control.S-,Function Creation.S-,Function access.T+,Operator expression.S-,Operator expression.T+;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Conditional.T+,Flow loop control.T+,Function access.S-,Operator expression.T+;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Conditional.T+,Flow loop control.T+,Function access.S-,Operator expression.S-;2;[apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, apache_tomcat-64389d04c74a7d14e37e077d0d563ebb8b45d2ba]
Function Creation.T+,Function access.S-,Function access.T+,Return modifier.S-,Variable declaration.T+;2;[apache_derby-6c000e85e16a90d6a27983bc81c8f62a5e1cca2e, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110]
Function Creation.T+,Function access.S-,Function access.T+,Return modifier.S-,Variable declaration.S-;2;[apache_derby-6c000e85e16a90d6a27983bc81c8f62a5e1cca2e, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110]
Function access.S-,Function access.T+,Operator expression.S-,Operator expression.T+,Variable declaration.S-;3;[google_ExoPlayer-d03fb105165f0724b8e576f84b85503c169b233d, apache_tomcat-378d06284bfa20317395d3516a8adf21359a57d9, google_ExoPlayer-5360ddc519392037c3af0887d5d0dafeafe4c110]
